Section	Control	Moderate Level 4	Moderate Level 5	Moderate Level 6	High Level 4	High Level 5	High Level 6	Requirement	Related	Parameters
5.2.2.5								Separation in Support of Law Enforcement and Criminal Investigation and EDiscovery Under federal law, the federal government reserves the right for law enforcement officials to perform criminal investigations of federal government employees and elected officials as well as anyone with access to federal government information for misconduct, misuse of such data, or for incident investigation. Such criminal investigations may include a need for E-Discovery on federal government information to collect digital evidence. As such the CSP must be able to segregate federal government information from non-federal government information within the CSO. The granularity of separation must be at the federal government mission owner level. The CSP must also ensure this segregation requirement flows down to all CSP/integrator subcontracted CSP/CSOs. The CSP and subcontractors must then be capable, upon request of the contracting officer(s) or in response to a subpoena, of isolating one or more federal government mission owner’s data into an environment where it may be reviewed, scanned, or forensically evaluated in a secure space or via secure remote connection with access limited to authorized Government personnel identified by the contracting officer, and without the CSP’s involvement or provide a forensic digital image of the requested federal government information. Refer to Section 6.5.4, Digital Forensics in the Cloud and Support for Law Enforcement/Criminal Investigation for additional information on capturing and protecting forensic digital images.		
5.2.3								DoD Data Ownership and CSP Use of DoD Data All DoD information/data placed or created by DoD users in a CSP’s CSO is owned by the DoD, the mission owner, and/or their information owner unless otherwise stipulated in the CSP’s contract with the DoD. The CSP has no rights to the DoD’s information/data. DoD information/data includes logs and monitoring data created within and by a mission owner’s system/application implemented in IaaS/PaaS CSOs as well as logs created for and provided to the mission owner related to their usage and management of the CSO. DoD also maintains ownership of all information/data created by the CSP/CSO for DoD if such activities are part of the contract. CSPs seeking a DoD PA must agree that DoD remains the owner of all DoD data in a CSO. CSPs are prohibited from using DoD data in any way other than that required to provide contracted services to DoD (e.g., customer access/usage logs used for billing) This means that the CSP may not “data mine” DoD email, files, information in data bases, or communications for any purpose other than that stipulated in the contract. The CSP maintains ownership of all logs and monitoring data created within the CSO related to the mission owner’s usage and management of the CSO. This includes logs related to customer access and usage used for billing, data used for capacity planning for the CSO, monitoring data related to malicious activities or CSO health. This also includes all audit content specified by the AU-2 security control for the time period specified by AU-11. While the CSP retains ownership of this information, some or all must be shared with the mission owner for the purpose of planning, forensics, billing validation, retention, etc. The ownership of the copies of this information shared with the DoD/mission owner is maintained by the DoD/mission owner. Additionally, all DoD information/data and CSP information/data shared with the mission owner must be made available for off-boarding and backup IAW Sections 5.8, Data Retrieval and Destruction for Off-boarding from a CSO and 5.12 - Backup. Mission owners must address data ownership in the contract. Related Security Controls: AC-23	AC-23	
5.3								Ongoing Assessment Both FedRAMP and DoD require an ongoing assessment and authorization capability for CSOs providing services to the DoD. This capability is built upon the DoD RMF and the FedRAMP continuous monitoring strategy, as described in the Guide to Understanding FedRAMP 41and FedRAMP Continuous Monitoring Strategy Guide. 42 These ongoing assessment processes which are discussed in the following sections include continuous monitoring and change control. Ongoing assessment processes do not differ by impact level, though the artifacts produced as part of those processes may. (e.g., Level 2 CSOs will have fewer controls to monitor than level 4 CSOs.) These processes will differ, however, based on whether or not CSOs are part of the FedRAMP catalog or have a FedRAMP JAB PA. These differences are based on the division of responsibility over the set of security controls and the ability of DoD to access the artifacts produced as part of the FedRAMP processes. Ongoing assessment responsibility mirrors the divided responsibilities and control inherent in cloud systems. FedRAMP’s processes will be leveraged for all CSOs in the FedRAMP catalog. This process, however, only covers the portion of the system that is governed by the FedRAMP PA, such as the FedRAMP moderate security controls. The DoD change control process will cover the portion of the system that is governed by the DoD PA, such as the FedRAMP+ security controls. Ongoing assessment of controls that are levied by the mission owner, such as those specified in the SLA, and do not fall under the FedRAMP or DoD PAs is the responsibility of the mission owner. This division of assessment responsibility is shown in Figure 5-1.		
5.3.1								Continuous Monitoring This section pertains specifically to continuous monitoring of security controls, as defined by CNSSI 4009 and NIST SP 800-137. Further information on monitoring activities performed as part of computer network defense, are described in Section 6, Cyberspace Defense and Incident Response. Once a DoD PA is granted, the CSP is expected to maintain the security posture of the CSO through continuous and periodic vulnerability scans, DoD annual assessments, incident management, and effective implementation of operational processes and procedures. Integral to this is periodic reporting to the appropriate AO. The continuous monitoring artifacts required to maintain a DoD PA are the same as those required by FedRAMP (annual assessments, monthly vulnerability scans, etc.). However, those artifacts must include additional information for FedRAMP+ controls and DoD requirements. Continuous monitoring data flows will differ for CSPs depending on whether their CSOs have a FedRAMP JAB PA, a 3PAO assessed non-DoD federal agency ATO, or DoD assessed PA (as described in Section 4). These data flows are reflected in Figures 5-2, 5-3, and 5-4, respectively. In some cases, CSPs such as, but not limited to, DoD private CSOs or CSOs in the FedRAMP catalog with a non-DoD agency ATO will provide continuous monitoring artifacts directly to DISA. In such cases, the CSP will use commercial standard formats (e.g., comma-separated values, XML) that enable DoD to automate the ingest of continuous monitoring data. Note: For XML exchanges, National Information Exchange Model (NIEM) based XML is the preferred format IAW DoDI 8320.0743, August 3, 2015. Additional information regarding this format can be found at www.niem.gov. All FedRAMP provisionally authorized CSP CSOs are required to have FedRAMP annual assessments performed by a 3PAO for the maintenance of their FedRAMP PA. DoD also requires annual assessments performed by a 3PAO or approved DoD SCA organization for the maintenance of their level 4 and above DoD PA. It is expected that CSOs in both the FedRAMP and DoD catalogs will have a single annual assessment to cover this requirement for both FedRAMP and DoD. This means DoD will leverage and use the FedRAMP Continuous Monitoring (CONMON) process and artifacts to the greatest extent possible. CSOs in the FedRAMP catalog will follow the process described in the FedRAMP Continuous Monitoring Strategy Guide44. DoD annual assessments will minimally include the set of controls listed in Appendix A of that document, as well as any other controls specified by the DISA AO. CSOs with a DoD PA that are not in the FedRAMP catalog will follow the DoD RMF process for continuous monitoring and associated assessments. Corresponding Security Controls: CA-7	CA-7	
5.3.1.1								Continuous Monitoring for CSOs in the FedRAMP Catalog with a DoD PA As described in Section 4.1, Assessment of Commercial/Non-DoD Cloud Services, the CSOs in the FedRAMP catalog that are eligible for DoD PAs include CSOs having a JAB PA (which is 3PAO assessed) or a 3PAO assessed federal agency ATO. All reports required by the FedRAMP Continuous Monitoring Strategy Guide, including self- assessments, for these CSOs will be provided to the FedRAMP information system security officer (ISSO). These will be reviewed by the FedRAMP TRs (which include DoD personnel) and approved by the JAB if necessary. DoD leverages the CSOs CONMON artifacts and the work done by the FedRAMP TRs in which DoD is a part of the team. Continuous monitoring requirements for DoD are the same as those for FedRAMP, except that all reports and artifacts for FedRAMP+ C/CEs will be provided directly to DISA AO representatives as the DoD single point of CSP contact for this information. DISA will share appropriate continuous monitoring information (FedRAMP and FedRAMP+) with mission owners, AOs, and cybersecurity service providers (CSSPs). The information will be used by mission owners, their AOs, and the DISA AO to assess and authorize the CSO. Those evaluations will inform decisions to continue the ATO for the mission owner’s system and the PA for the CSP respectively. The DISA AO will coordinate closely with mission owners in the event that the withdrawal of a PA must be considered upon the basis of this requirement. Figure 5-2 shows the normal flow of continuous monitoring information if the CSP has a FedRAMP JAB PA.		
5.3.2								Change Control The DoD change control process for CSOs mirrors and leverages that of FedRAMP, with a focus on how changes affect the DoD PA and the security of hosted mission systems/applications and information. The FedRAMP Continuous Monitoring Strategy Guide, dated June 6, 2014, states: “Systems are dynamic and FedRAMP anticipates that all systems are in a constant state of change. Configuration management and change control processes help maintain a secure baseline configuration of the CSP’s architecture. Routine day-to-day changes are managed through the CSP’s change management process described in their Configuration Management Plan. However, before a planned significant change takes place, CSP’s must perform a Security Impact Analysis, consistent with control CM-4, to determine if the change will adversely affect the security of the system. The Security Impact Analysis is a standard part of a CSP’s change control process as described in the CSP’s Configuration Management Plan.” As with FedRAMP, CSPs must give DoD 30-day notice prior to significant changes. If a change is made without approval that affects the risk posture of the system, the DISA AO can revoke the DoD PA. As with continuous monitoring, the change control process will differ for CSPs depending on if they are in the FedRAMP catalog and if they have a DoD assessed PA or ATO. Figure 5-5, Figure 5-6, and Figure 5-7 show these change control processes. Note: NIST SP 800-37 Revision 1, Appendix F February 201045 defines a significant change as follows: “a change that is likely to affect the security state of an information system.” Examples are provided as follows: “Significant changes to an information system may include for example: (i) installation of a new or upgraded operating system, middleware component, or application; (ii) modifications to system ports, protocols, or services; (iii) installation of a new or upgraded hardware platform; (iv) modifications to cryptographic modules or services; or (v) modifications to security controls. Examples of significant changes to the environment of operation may include for example: (i) moving to a new facility; (ii) adding new core missions or business functions; (iii) acquiring specific and credible threat information that the organization is being targeted by a threat source; or (iv) establishing new/modified laws, directives, policies, or regulations.” Corresponding Security Controls: CM-3, CM-4, CA-6	CM-3,CM-4,CA-6	
5.3.2.1								Change Control for CSOs in the FedRAMP Catalog with a DoD PA The FedRAMP Continuous Monitoring Guide defines a significant change as a change to the scope of an approved PA or an impact to the authorization boundary of the CSO. The CSP will follow procedures defined in the continuous monitoring strategy guide by submitting a FedRAMP Significant Change Security Impact Analysis Form46 to the FedRAMP PMO. The review of the security implications of significant changes will be performed at multiple layers, as reflected in Figure 5-5. The planned change will be reviewed by the FedRAMP ISSO and/or JAB technical representatives (TRs), and then forwarded to the JAB for approval. Simultaneously the DoD JAB TR will notify DISA, who will in turn notify all mission owners utilizing that CSO, the DISA AO, and the CSSP entities as defined in Section 6, Cyberspace Defense and Incident Response. During FedRAMP ISSO review, the DoD JAB TR will collect comments from DoD stakeholders and inform the FedRAMP ISSO if planned changes will adversely affect the security of the information hosted by the CSO for DoD cloud customers. DoD may communicate directly with the CSP and their 3PAO regarding change approval or concerns over the impact on DoD’s FedRAMP+ C/CEs. FedRAMP requires a security assessment be performed by a 3PAO after a significant change is implemented, with a corresponding security assessment report created. CSPs must also include all FedRAMP+ C/CEs in post-change assessments to meet DoD requirements. DISA will notify affected mission owners of proposed significant changes and provide its assessment of the change within the scope of the CSO PA. Mission owners are responsible for assessing the effects of proposed changes for effects that fall within the scope of their SLAs. When a CSO having a DoD PA is included in the FedRAMP catalog, but does not have a JAB PA, the CSP will notify DISA directly in addition to any other required points of contact. (e.g., A CSP with a non-DoD agency ATO would notify both that agency and DISA). This is required because the FedRAMP JAB does not control the agency ATO, and information may not flow from the CSP to the FedRAMP PMO and DISA. DISA will in turn notify all mission owners utilizing that CSO, the DISA AO, and the CSSP entities as defined in Section 6, Cyberspace Defense and Incident Response. The Security Impact Analysis must additionally cover the FedRAMP+ C/CEs. Once informed, DISA will review the proposed change to assess if it will, and ensure it will not, adversely affect the security of the DODIN as a whole or the DISN with respect to the impact level at which it is authorized. Any updates to the FedRAMP Security Package will be forwarded to DISA.  As with FedRAMP, DoD requires a security assessment be performed by a 3PAO after a significant change is implemented, with a corresponding security assessment report created. CSPs must also include all FedRAMP+ C/CEs in post-change assessments to meet DoD requirements. DISA will notify affected mission owners of proposed significant changes and provide its assessment of the change within the scope of the CSO PA. Mission owners are responsible for assessing the effects of proposed changes for effects that fall within the scope of their SLAs Figure 5-6 shows the normal flow of significant change information if the CSO has a 3PAO assessed non-DoD federal agency ATO listed in the FedRAMP catalog. Since the FedRAMP JAB does not control the agency ATO, information from the CSP may not flow from the authorizing agency to the FedRAMP PMO. To avoid the possibility of DoD not being informed of potential changes, CSPs must send change requests to DISA in addition to the authorizing agency.		
5.3.2.2								Change Control for DoD Assessed CSOs Figure 5-7 shows the flow of significant change for non-FedRAMP CSOs having a DoD PA or ATO assessed by a DoD SCA organization and authorized by a DoD AO. The review of significant change information will be directed by the DoD RMF, rather than the FedRAMP change control process. CSPs will have similar responsibilities but will report directly to DISA. DISA will, in turn, disseminate those artifacts to all mission owners utilizing that CSO, the DISA AO, and the CSSP entities as defined in Section 6, Cyberspace Defense and Incident Response. These entities will review the proposed change to ensure it will not adversely affect the security posture of the CSO with respect to its PA or ATO. The planned change will also be reviewed by the Mission Owners utilizing the CSO for any adverse impact with regard to their specific usage of the CSO.		
5.3.3								Support for Financial Audits – SOC 1 Type II Reports The 20 May 2019 DoD CIO Memo titled System and Organization Control Report Requirement for Audit Impacting Cloud/Data Center Hosting Organizations and Application Service Providers stipulates that CSPs and their subcontractors provide annual System and Organization Control (SOC 1) Type II reports in support of DoD financial audits. DoD mission owners must add this requirement to their contracts with the CSPs. Mission owners and CSPs must refer to the memo and its “Attachment A” for details of fulfilling the requirement.  Note: Cloud/data center hosting organizations is interpreted here as CSPs providing IaaS CSOs while application service providers (ASPs) is interpreted here as CSPs providing PaaS/SaaS CSOs. In both cases, the contracted CSP must obtain and provide reports from any and all subcontractors (e.g., data centers and CSP’s hosting their CSO infrastructure) and from any CSPs whose CSOs the contracted CSP (ASP) is leveraging as an external service to provide their complete CSO. As a condition of receiving a DoD PA, CSPs must demonstrate they have the ability to meet the requirement to produce SOC 1 Type II reports as stipulated in the memo and attachment for themselves and for any subcontractors and to coordinate the time period with the federal government’s fiscal year. The memo and attachment are included here for the reader’s convenience; however, the mission owner and CSP should refer to the memo found at the link in the footnote to ensure there have been no changes since the publication of this release of the CC SRG. The memo is as follows: Beginning fiscal year 2018, the Department of Defense (DoD) is under full annual financial statement audits. In support of these audits, DoD components are directed to obtain annual SOC 1 Type II reports from cloud/data center hosting organizations and application service providers (ASPs) hosting or delivering financial or non-financial applications that impact internal controls relevant to multiple DoD financial statement audits. DoD components should work with their financial and contract personnel to determine if their cloud/data center hosting organization or ASP is affected and to ensure service organizations and relevant sub-service organizations submit SOC 1 Type II reports in accordance with requirements in Attachment A. In those instances where only a single DoD audit is impacted, and alternate solution is the inclusion of a right to audit clause in relevant service organization contracts. Attachment A System and Organization Control (SOC 1) Type II Reporting Requirements for Service Organizations The following are SOC 1 Type II reporting requirements to address the specific needs of Department of Defense (DoD) financial statement auditors where service organizations are providing audit impacting platform or infrastructure as a service (cloud/data center hosting services) and/or software as a service (application service providers). Cloud/Data Center Hosting Organizations and Application Service Providers (ASPs) 1. The SOC 1 report must be prepared in accordance with the following auditing standards: o Attestation Standards Clarified (AT-C) Section 320, “Reporting on an Examination of Controls at a Service Organization Relevant to User Entities’ Internal Control Over Financial Reporting” o AT-C Section 105, “Concepts Common to All Attestation Engagements” o AT-C Section 205, “Examination Engagements” 2. The SOC 1 report must address the design and operating effectiveness of the service organization’s controls to meet identified control objectives (generally referred to as a Type II report). 3. The SOC 1 report will include information system general control objectives that are comparable with the U.S. Government Accountability Office (GAO) Federal Information System Controls Audit Manual (FISCAM) control objectives for security management, access controls, configuration management, segregation of duties, and contingency planning. 4. The SOC 1 report period will begin October 1 and end on June 30 of each year. 5. The SOC 1 report will be delivered to DoD (FIAR directorate) no later than August 15 of each year. 6. The service organization will provide a bridge letter to DoD no later than October 8 of each year to address the period from July 1 through September 30. Incremental Requirements for ASPs In addition to the requirements for cloud/data center hosting organizations, SOC 1 reports for ASPs will include the following incremental requirements for relevant application(s). 1. The report will include business process application control objectives that are comparable with the GAO FISCAM control objectives for the completeness, accuracy, and validity of inputs, processing, outputs, and master data. 2. The SOC 1 report will identify key inputs and the service organization’s rationale and approach for identifying the key inputs. 3. The SOC 1 report will identify inbound/outbound interfaces and the service organization’s rationale and approach for identifying the key interfaces. 4. The SOC 1 report will identify automated data/transaction edits and the service organization’s rationale and approach for identifying the key edits. 5. The SOC 1 report will identify key outputs/reports and the service organization’s rationale and approach for identifying the key outputs/reports.		
5.4								CSP Use of DoD Public Key Infrastructure (PKI) In accordance with FedRAMP’s selection of IA-2(12), which states “The information system accepts and electronically verifies personal identity verification (PIV) credentials”, and the FedRAMP supplemental guidance, which states “Include Common Access Card (CAC), i.e., the DoD technical implementation of PIV/FIPS 201/HSPD-12,” CSPs are required to integrate with and use the DoD PKI for DoD entity authentication (e.g., a web portal that DoD and Federal Government Mission Owner’s privileged users log in to for configuring the CSO). The following sections describe how the CSP fulfills its responsibilities with additional detail in the supporting subsections:		
5.4-Impact_level_2								Whenever a CSP is responsible for authentication of entities and/or identifying a hosted DoD information system, the CSP will use DoD PKI certificates in compliance with DoDI 8520.03. CSPs will enforce the use of a physical token referred to as the “Common Access Card (CAC)” or “alt token” for the authentication of DoD privileged users. CSPs must make use of DoD Online Certificate Status Protocol (OCSP) or certificate revocation list (CRL) resources for checking revocation of DoD certificates and DoD certificate authorities; and must follow DoD instructions and industry best practices for the management and protection of cryptographic keys.		
5.4-Impact_levels_45								Whenever a CSP is responsible for authentication of entities and/or identifying a hosted DoD information system, the CSP will use DoD PKI certificates in compliance with DoDI 8520.03. CSPs will enforce the use of a physical token referred to as the “Common Access Card (CAC)” or “alt token” for the authentication of DoD privileged and DoD non-privileged users. CSPs must make use of DoD OCSP or CRL resources for checking revocation of DoD certificates and DoD certificate authorities; and must follow DoD instructions and industry best practices for the management and protection of cryptographic keys. DoD issued PKI server certificates will be used to identify the CSP's DoD customer ordering/service management portals and SaaS applications and services contracted by and dedicated to DoD use.		
5.4-Impact_level_6								Whenever an on-premises CSO is responsible for authentication of DoD entities and/or identifying a hosted DoD information system, the CSP will use NSS PKI certificates in compliance with DoDI 8520.03 and CNSSP-25. CSPs will enforce the use of a physical token referred to as the CNSS NSS Hardware Token for the authentication of DoD Mission owner and CSP privileged and non-privileged end users. When implementing NSS PKI, CSPs must make use of NSS OCSP or CRL resources for checking revocation of NSS certificates and NSS Certificate Authorities; and must follow CNSS/NSA instructions for the management and protection of cryptographic keys. CNSS issued PKI server certificates will be used to identify the CSP's DoD customer ordering/service management portals and SaaS applications and services contracted by and dedicated to DoD use. Note: A CSP must PK enable their customer ordering/service management portals for all service offerings and their SaaS service offerings for general DoD user access at levels 4 and up or provide a customer configurable service offering to permit PK enabling and integration with the required PKI. For complete compliance the CSP will integrate with the DoD PKI and the Federal PKI for levels 2 through 5. For Level 6 the CSP will integrate with the NSS (SIPRNet) PKI. Both the DoD and NSS PKI are operated by DISA47 while the Federal PKI is operated by GSA48. PK enabled customer ordering/service management portals may require a separate URL or dedicated application/application interface as best determined by the CSP to meet the Federal Government requirement. Corresponding Security Controls: IA-2, IA-2(1), IA-2(2), IA-2(3), IA-2(8), IA-2(11), IA-2(12), IA-5(2), IA-5(11), IA-7, IA-8 Note: NSS PKI and SIPRNet token requirements for off-premises Level 6 CSPs and CSOs need to be coordinated with OUSD(I) and DSS. Associated policies are addressed above in Section 4.2, Assessment of DoD Cloud Services and Enterprise Services Applications under the Impact Level 6 topic. Coordinated guidance and requirements for off-premises CSPs and their CSOs for a DoD Level 6 provisional authorization may appear in a future release of the CC SRG. This note applies to all subsections in Section 5.4.		
5.4.1								Identification, Authentication, and Access Control Credentials DoDI 8520.03, Identity Authentication for Information Systems is the DoD policy that defines the credentials that DoD privileged and non-privileged users must use to identify themselves to DoD information systems to be authenticated before being granted access. It also defines the credentials that DoD information systems use to identify themselves to each other. This is fully applicable to DoD information systems instantiated on cloud services. Additionally, CNSS Policy #25 and CNSSI 1300 provide similar guidance for NSS. For the purpose of this discussion, the process of identification and authentication will be referred to as I&A.		
5.4.1.1								Mission Owner Credentials for CSP and Mission System Interfaces This section defines the mission owner access control credentials required at each information impact level IAW DoDI 8520.03 in the following categories: • Mission owner privileged user access to the CSP’s customer ordering and service management interfaces or portals for all service offerings (IaaS/PaaS, SaaS). o Integration with DoD PKI is typically a CSP responsibility. Minimally, the CSP is responsible for providing capabilities that enable mission owners to configure a CSP service offering that integrates with DoD PKI. • Mission owner non-privileged user (i.e., mission application end-users) access to CSP SaaS offerings. o Integration with DoD PKI is typically a CSP responsibility. Minimally, the CSP is responsible for providing capabilities that enable mission owners to configure a CSP service offering that integrates with DoD PKI. • Non-privileged user access to mission owner’s systems and applications instantiated on IaaS/PaaS. (i.e., mission application end-users) o Implementation is a mission owner responsibility. • Mission Owner privileged user access to their systems and applications instantiated on IaaS/PaaS for the purpose of administration and maintenance. o Implementation is a mission owner responsibility. Table 5-3 lists the mission owner credential types required at each impact level for various use cases and the policy under which they are required. The DoD policy column identifies the authentication methods that mission owners must implement for use in the systems and applications they instantiate in a CSP’s CSO. This is primarily applicable to IaaS/PaaS. The IA2(12) column identifies the authentication methods that CSPs must implement for use in the service offerings they provide to their DoD customer. This primarily applies to SaaS and CSP's customer ordering/service management portals.		
Table 5-3	Level 2							Implemented by Mission Owner IAW DoD Policy  Non-privileged user access to publicly released information requires no I&A, unless the information owner requires it. If required, the mission owner determines the type of I&A to be used.  Non-privileged user access to nonpublicly released non-CUI and noncritical mission information minimally requires I&A through the use of a User Identifier (UID) and password that meets DoD length and complexity requirements. The mission owner is encouraged to require the use of a stronger I&A technology in accordance with the sensitivity of the private information (e.g., UID/Password with two-step verification, two-factor token based onetime password, DoDapproved PKI token/certificate, CAC/PKI, etc.)  Mission owner privileged users’ access to administer mission owner systems/applications instantiated on IaaS/PaaS requires the use of DoD CAC/PKI or Alt Token/PKI. Implemented by CSP IAW FedRAMP's selection of IA-2(12)  Non-privileged user access to nonpublicly released non-CUI and noncritical mission information in the CSP’s SaaS offering minimally requires I&A through the use of a User Identifier (UID) and password that meets DoD length and complexity requirements. The mission owner is encouraged to require the use of a stronger I&A technology in accordance with the sensitivity of the private information (e.g., two-factor token-based onetime password, DoDapproved49 PKI token/certificate, CAC/PKI, etc.)  Mission owner’s privileged users’ access to the CSP's customer ordering/service management portals for all service offerings requires the use of DoD CAC/PKI or Alt Token/PKI.		
Table 5-3	Level 4 and 5							Implemented by Mission Owner IAW DoD Policy  Non-privileged user access to CUI, non-CUI critical mission data, and/or unclassified NSS (L5) requires the use of DoD CAC/PKI or other DoDapproved PKI50.  Mission Owner privileged users’ access to administer Mission Owner systems/applications instantiated on IaaS/PaaS requires the use of DoD CAC/PKI or Alt Token/PKI. Implemented by CSP IAW FedRAMP's selection of IA-2(12)  Non-privileged user access to CUI, non-CUI critical mission data, and/or unclassified NSS (L5) information in the CSP’s SaaS offering requires the use of DoD CAC/PKI or other DoDapproved PKI51.  Mission Owner’s privileged users’ access to the CSP's customer ordering/service management portals for all service offerings requires the use of DoD CAC/PKI or Alt Token/PKI.		
Table 5-3	Level 6							Implemented by Mission Owner IAW DoD Policy  Non-privileged user access to classified information requires the use of NSS SIPRNet Token/PKI.  Mission owner privileged users’ access to administer mission owner systems/applications instantiated on IaaS/PaaS requires the use of NSS SIPRNet Token/PKI. Implemented by CSP IAW FedRAMP's selection of IA-2(12)  Non-privileged user access to classified information in the CSP’s SaaS offering requires the use of NSS SIPRNet Token/PKI.  Mission Owner’s privileged users’ access to the CSP's customer ordering/service management portals for all service offerings requires the use of NSS SIPRNet Token/PKI.		
Table 5-3	Note 1							Note: Mission owner personnel that are involved in managing any portion of a CSP’s service offering or who are able to order services from the CSP (i.e., possesses accounts on the CSP’s customer ordering and service management interfaces or portals for any service offering (IaaS/PaaS, SaaS)), are considered privileged users by DoD and therefore are required to authenticate using DoD CAC, or alt token IAW DoDI 8520.03.		
Table 5-3	Note 2							Note: It is recognized that some Level 4/5 systems must support some non-privileged user populations (e.g., retirees) that cannot receive a DoD CAC/PKI or other DoD-approved PKI authenticator to gain access to CUI (e.g., PII/PHI) for which they have a legal right to access. In cases such as these, the mission owner will seek AO approval to use an assertion service that is compliant with DoD standards. An assertion service is a DoD strong authentication mechanism that provides additional challenges and responses to prove an identity IAW DoD Cybersecurity Discipline Implementation Plan, October 2015, Amended February 201652. An example of this is a two-step verification where an access code is sent to the user via a different communications path than the one accessing the website or application after entering the UID/password combination. In effect, this becomes a two-factor authentication system.		
5.4.1.2								CSP Privileged User Credentials This section defines the I&A and access control credentials that the CSP privileged users must use when administering the CSP’s infrastructure supporting mission owner’s systems.		
5.4.1.2-Impact_levels_24								IAW the separation requirements for Levels 2 and 4 described in Section 5.2.2.1, Impact Level 2 Location and Separation Requirements, and 5.2.2.2 ,Impact Level 4 Location and Separation Requirements, and FedRAMP's selection of IA-2(1) and IA-2(3), the CSP must minimally implement two factor authentication for CSP privileged user access to administer and maintain CSP infrastructure supporting federal and DoD contracted services. While the best practice of using a hardware token technology implementing a multi-factor onetime password or PKI certificate technology solution similar to DoDI 8520.03 Credential Strength D is preferred, these identity credentials minimally use a multi-token solution or a multi-factor one-time password solution similar to DoDI 8520.03 Credential Strength C.		
5.4.1.2-Impact_level_5								IAW the separation requirements for Level 5 described in Section 5.2.2.3, Impact Level 5 Location and Separation Requirements and DoD policy, the CSP must implement a strong two-factor I&A capability for CSP privileged user access to administer and maintain dedicated CSP infrastructure supporting federal and DoD contracted services. The strong twofactor I&A capability must be dedicated to the dedicated CSP infrastructure. These identity credentials minimally use a hardware token technology implementing a multi-factor one-time password or PKI certificate technology solution similar to DoDI 8520.03 Credential Strength D. Note: While DoDI 8520.03 requires that all administrators of DoD or partner managed systems use identity Credential Strength E (i.e., hardware token PKI technology issued by an identity credential service provider that is either a Federal agency, an approved shared service provider under the Federal PKI Policy Authority Program, or an identity credential service provider that has been specifically approved by the DoD CIO as a credential strength E service provider e.g., DoD CAC or ALT) for privileged access to DoD systems, DoD is not enforcing this requirement on CSP infrastructure administrators/privileged users managing CSP assets at this time.		
5.4.1.2-Impact_level_6								IAW the separation requirements for level 6 described in Section 5.2.2.4, Impact Level 6 Location and Separation Requirements and CNSS policy, the CSP must implement SIPRNet Token/PKI authentication for CSP privileged user access to administer and maintain dedicated CSP infrastructure supporting federal and DoD contracted level 6 services connected to SIPRNet.		
5.4.2								Public Key (PK) Enabling Public Key (PK) enabling refers to the process through which hosts and applications are enabled to hold or use PKI certificates for the following: • Identifying themselves to other hosts. • Establishing secure communications paths. • Accepting DoD PKI certificates for system and user authentication. • Validating the validity of PKI certificates while making use of the DoD OCSP responder resources and/or CRL resources. The Cyber Exchange website page Public Key Infrastructure (PKI) and Public Key Enabling (PKE)53 provides information needed to PK-enable mission owner’s systems/applications instantiated on CSP’s IaaS/PaaS offerings and CSP’s PK-enabling of SaaS offerings and service ordering/management portals/interfaces.		
5.5								Policy, Guidance, Operational Constraints DoD-specific policy, guidance and operational constraints must be followed as appropriate by CSPs. DISA will evaluate CSP submitted equivalencies to any specific security control, SRG, or STIG requirement on a case-by-case basis.		
5.5.1								SRG/STIG Compliance Mission owners must use all applicable DoD SRGs and STIGs to secure all mission owner systems and applications instantiated on CSP’s IaaS and PaaS at all levels. CSP’s CSOs are subject to the FedRAMP selected SP 800-53 security control CM-6. This is applicable to all infrastructure, hardware, and software, which constitutes and supports the CSP’s CSO whether it is IaaS, PaaS, or SaaS. CSOs are assessed under FedRAMP in accordance with the security configuration checklists specified in the FedRAMP value. All STIGs and SRGs can be found on DISA’s Cyber Exchange website54 along with an SRG/STIG Applicability Guide55. DoD recommends that STIGs and/or SRGs be used by CSPs to fulfill the CM-6 baseline configuration requirement for systems that support DoD systems as follows:		
5.5.1-Impact_level_2								While the use of STIGs and SRGs by CSPs is preferable, industry standard baselines such as those provided by the Center for Internet Security (CIS) benchmarks are an acceptable alternative to the STIGs and SRGs.		
5.5.1-Impact_levels_456								STIGs are applicable if the CSP uses the product a STIG addresses. SRGs are applicable in lieu of STIGs if a product-specific STIG is not available. However, the SP 800- 53 control applies whether or not a STIG or SRG is available. While the DoD level 4/5/6 value for CM-6 is to use DoD SRGs and STIGs as applicable, DISA will evaluate the CSP’s usage of commercial equivalencies (e.g., CIS benchmarks) on a case-by-case basis. For dedicated infrastructure that only serves DoD tenants, CSPs must use all applicable DoD STIGs and/or SRGs to secure all DoD contracted cloud computing services. This applies at levels 4 and above for IaaS, PaaS, and SaaS offerings. Corresponding Security Controls: CM-6	CM-6	
5.6								Physical Facilities and Personnel Requirements The following sections discuss facility and personnel requirements as they align to the impact levels.		
5.6.1								Facilities Requirements		
5.6.1-Impact_level_2								CSP data processing facilities supporting level 2 information will meet the physical security requirements defined in the FedRAMP moderate baseline.		
5.6.1-Impact_levels_45								CSP data processing facilities supporting level 4 and 5 CSOs/information will meet the physical security requirements defined in the FedRAMP moderate baseline as well as any FedRAMP+ C/CEs related to physical security.		
5.6.1-Impact_level_6								DoD data on-premises processing facilities that support cloud services infrastructure and classified service offerings will be housed in facilities (designated as a secure room) designed, built, and approved for open storage commensurate with the highest classification level of the information stored, processed, or transmitted as defined in DoDM 5200.01 Volume 3, DoD Information Security Program: Protection of Classified Information56.		
